tag	name	vr	vm	is_retired
(0010,2161)	Ethnic Group Code Sequence	SQ	1	false
(0010,2162)	Ethnic Groups	UC	1-n	false
(0010,2180)	Occupation	SH	1	false
(0010,21A0)	Smoking Status	CS	1	false
(0010,21B0)	Additional Patient History	LT	1	false
(0010,21C0)	Pregnancy Status	US	1	false
(0010,21D0)	Last Menstrual Date	DA	1	false
(0010,21F0)	Patient&#x27;s Religious Preference	LO	1	false
(0010,2201)	Patient Species Description	LO	1	false
(0010,2202)	Patient Species Code Sequence	SQ	1	false
(0010,2203)	Patient&#x27;s Sex Neutered	CS	1	false
(0010,2210)	Anatomical Orientation Type	CS	1	false
(0010,2292)	Patient Breed Description	LO	1	false
(0010,2293)	Patient Breed Code Sequence	SQ	1	false
(0010,2294)	Breed Registration Sequence	SQ	1	false
(0010,2295)	Breed Registration Number	LO	1	false
(0010,2296)	Breed Registry Code Sequence	SQ	1	false
(0010,2297)	Responsible Person	PN	1	false
(0010,2298)	Responsible Person Role	CS	1	false
(0010,2299)	Responsible Organization	LO	1	false
(0010,4000)	Patient Comments	LT	1	false
(0010,9431)	Examined Body Thickness	FL	1	false
(0012,0010)	Clinical Trial Sponsor Name	LO	1	false
(0012,0020)	Clinical Trial Protocol ID	LO	1	false
(0012,0021)	Clinical Trial Protocol Name	LO	1	false
(0012,0022)	Issuer of Clinical Trial Protocol ID	LO	1	false
(0012,0023)	Other Clinical Trial Protocol IDs Sequence	SQ	1	false
(0012,0030)	Clinical Trial Site ID	LO	1	false
(0012,0031)	Clinical Trial Site Name	LO	1	false
(0012,0032)	Issuer of Clinical Trial Site ID	LO	1	false
(0012,0040)	Clinical Trial Subject ID	LO	1	false
(0012,0041)	Issuer of Clinical Trial Subject ID	LO	1	false
(0012,0042)	Clinical Trial Subject Reading ID	LO	1	false
(0012,0043)	Issuer of Clinical Trial Subject Reading ID	LO	1	false
(0012,0050)	Clinical Trial Time Point ID	LO	1	false
(0012,0051)	Clinical Trial Time Point Description	ST	1	false
(0012,0052)	Longitudinal Temporal Offset from Event	FD	1	false
(0012,0053)	Longitudinal Temporal Event Type	CS	1	false
(0012,0054)	Clinical Trial Time Point Type Code Sequence	SQ	1	false
(0012,0055)	Issuer of Clinical Trial Time Point ID	LO	1	false
(0012,0060)	Clinical Trial Coordinating Center Name	LO	1	false
(0012,0062)	Patient Identity Removed	CS	1	false
(0012,0063)	De-identification Method	LO	1-n	false
(0012,0064)	De-identification Method Code Sequence	SQ	1	false
(0012,0071)	Clinical Trial Series ID	LO	1	false
(0012,0072)	Clinical Trial Series Description	LO	1	false
(0012,0073)	Issuer of Clinical Trial Series ID	LO	1	false
(0012,0081)	Clinical Trial Protocol Ethics Committee Name	LO	1	false
(0012,0082)	Clinical Trial Protocol Ethics Committee Approval Number	LO	1	false
(0012,0083)	Consent for Clinical Trial Use Sequence	SQ	1	false
(0012,0084)	Distribution Type	CS	1	false
(0012,0085)	Consent for Distribution Flag	CS	1	false
(0012,0086)	Ethics Committee Approval Effectiveness Start Date	DA	1	false
(0012,0087)	Ethics Committee Approval Effectiveness End Date	DA	1	false
(0014,0023)	CAD File Format	ST	1	true
(0014,0024)	Component Reference System	ST	1	true
(0014,0025)	Component Manufacturing Procedure	ST	1	false
(0014,0028)	Component Manufacturer	ST	1	false
(0014,0030)	Material Thickness	DS	1-n	false
